ID1	ID7	ID13	ID19	ID25	ID31	ID37	ID43	ID49	ID55	ID61	ID67	ID73	ID79	ID85	ID91	ID97	ID103	ID109	ID115
palmitoleate (16:1n7)	0.490194101	1.320100147	0.797692802	0.777473606	137.0270954	153.5653358	0.911104937	9.389836791	1.353847558	1.088895063	0.468172374	0.84000328	0.815334577	0.555164775	1.139919019	3.09402045	3.040341071	382.7889885	0.359715609	0.389796312
phenylalanine	0.626883023	1.064423816	0.872154108	0.830374027	0.974286908	0.615911801	1.757222555	1.582897357	2.384834592	1.762534083	0.992418555	0.847138188	1.278197713	1.007581445	0.511886686	1.182372609	1.27696235	1.300794128	0.400953364	0.465561079
phosphate	16.0771708	0.445472896	3.924698233	0.227104466	14.53553999	1.500209944	0.667868234	49.36960141	6.169891084	3.56897732	0.177040247	0.768436383	0.245346286	0.120165659	0.731894044	0.304240249	20.73079322	43.32994351	1.231563617	0.190998234
phytanate	0.349804624	9.215361547	2.049966206	2.583410246	1	1.351780319	0.423444263	0.3480205	0.3480205	0.508804691	0.358427142	0.917202515	2.143298346	0.663719088	1.045968265	21.08280733	0.3480205	0.3480205	2.942888347	0.4578296
phytosphingosine	0.960957148	0.721136888	1.254951779	0.509138669	1.225911554	1.027416769	1.810765202	0.495466288	0.972583231	1.868571508	0.819195551	0.514316898	4.071679087	5.623934792	1.145971958	0.902500197	1.516390809	1.64496856	0.051468593	0.077854166
proline	0.317745824	0.602475394	1.08860723	0.475960779	1.324092797	0.632530826	1.481823631	1.174030709	9.663366776	2.877169433	1.103316926	0.650988085	0.91139277	5.972634911	0.535057513	1.256484167	0.726076541	1.29543449	0.770936773	0.448034266
lactate	4.443092624	0.268171447	2.379226094	0.268171447	0.572552613	0.268171447	32.66080768	2.394608831	1.045591478	0.954408522	1.12706479	1.735604526	1.425257477	0.8385154	0.80234318	0.268171447	0.350922647	0.737439627	0.588232947	0.268171447
pyridoxal	0.908657771	0.202546405	0.395372026	0.164826111	1	0.164826111	1.177871043	0.244327971	33.11190325	14.34750189	0.768356994	1.446019934	3.492994574	2.619388466	1.173697126	1.638322376	0.643116766	2.123251981	0.942463151	0.758360185
retinol (vitamin A)	0.275064933	0.275064933	0.275064933	0.275064933	0.275064933	0.275064933	1.749703648	1.035656402	0.377592531	0.421273241	1.178951192	0.275064933	0.964343598	1.891718902	0.275064933	0.275064933	0.275064933	0.275064933	0.275064933	0.275064933
riboflavin (vitamin B2)	1.582603342	0.419089795	2.215468985	0.345793455	0.460309306	0.249937777	0.85725654	0.249937777	0.663223313	1	2.539471182	1.035782505	3.97887819	1.612515692	0.74817182	1.882761868	0.249937777	2.166001206	0.59127888	0.249937777
salicylate	1.066614771	2.790019486	21.71310586	3.595099702	0.169850654	0.169850654	1.073310274	0.169850654	0.861133887	1.042023655	1.618185409	0.977926751	0.169850654	0.169850654	0.169850654	0.645161612	0.959412044	0.908838926	1	0.873188779
serine	0.274819488	0.952986219	0.771835208	0.982374113	1.060703146	0.693711243	1.781905705	1.083105812	0.62295905	0.53833066	1.017625887	1.208067711	1.73415789	1.711246255	0.625603321	1.499744413	1.747089402	1.48862021	0.309836427	0.308516247
serotonin	0.435850887	0.965489685	11.81443359	0.435850887	1.034510315	0.71763156	0.435850887	0.782523344	0.435850887	0.881563518	0.435850887	0.435850887	2.312431415	0.435850887	1.758951864	1.211969598	0.435850887	3.633893594	0.935614911	0.435850887
taurine	0.856602527	1.228069204	1.387103413	1.0146308	0.951601173	1.288878103	1.728157498	0.978141731	2.209117237	2.27320394	1.740996577	0.9853692	0.018905711	0.010868432	1.21730256	1.058593613	0.012325534	0.140456467	0.005068471	0.01806831
myristate (14:0)	0.490449329	0.99503221	0.618467042	0.689043886	9.642117436	2.428273887	3.169168539	11.4222628	0.661363693	0.511780146	0.326484829	0.38178631	3.032398509	0.59502798	1.997156741	1.58177186	3.167064708	30.09404027	1.00496779	0.687762855
uridine	2.504425452	1.062041324	1.925314639	0.38771839	1.413912027	0.937958676	5.334523362	0.289967097	0.423029822	0.3073521	0.408002093	0.929710693	0.199393976	2.360834593	1.824172911	1.238828725	3.863334361	4.525157271	0.09329217	0.645237904
2'-deoxyuridine	0.974120903	1.025879097	2.214779459	0.618766074	0.160949767	0.311928849	1.433894128	0.067493356	0.173308819	0.198480494	1.883786356	2.025099372	1.121258449	4.190173169	0.786903854	1.811106947	1.412420963	0.170080871	0.073612234	1.412485364
trans-urocanate	0.193530572	1.3457385	2.998922942	0.938684038	3.055095271	1.337875906	2.153493718	4.825422074	0.13885622	0.980114148	0.412185377	0.1691937	1.836074882	2.461783543	0.720078705	1.330202787	0.762953983	0.527410438	1.019885852	0.725962594
