,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000108297,3.36729583,0,3.091042453,2.197224577,3.218875825,3.17805383,2.302585093,3.17805383,3.688879454,1.945910149,0,1.098612289,0,3.17805383,1.791759469,0,0,3.401197382,2.197224577,2.772588722
ENSMUSG00000108316,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,2.772588722,0,0
ENSMUSG00000108317,0,1.791759469,0.693147181,0.693147181,0,0,2.079441542,0,0,0,0,0,0,0,2.197224577,0,0,3.17805383,0,2.772588722
ENSMUSG00000108319,2.197224577,2.397895273,1.098612289,0,0,0,2.995732274,0,1.791759469,0,0,0,0,0,2.397895273,0,0,0.693147181,2.564949357,2.833213344
ENSMUSG00000108325,0,0.693147181,0,0,0,0,0.693147181,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108341,1.609437912,0,0,0,0,0,0.693147181,0,0,0,0,0,0,0,1.945910149,0,0,0,0,0
ENSMUSG00000108348,2.564949357,0,0,3.526360525,1.386294361,0,0,0,0,0,0,1.098612289,0,0,0,3.784189634,0,0,0,1.609437912
ENSMUSG00000108350,2.63905733,2.564949357,2.397895273,0,3.218875825,0,3.044522438,2.302585093,0,1.386294361,2.833213344,0,0,3.218875825,2.397895273,1.098612289,0,3.091042453,2.197224577,0.693147181
ENSMUSG00000108358,2.995732274,2.63905733,2.564949357,2.890371758,1.945910149,1.098612289,1.791759469,0,1.945910149,2.564949357,3.828641396,0,4.59511985,2.079441542,2.564949357,3.135494216,0,1.098612289,2.48490665,1.609437912
ENSMUSG00000108359,0,0,0,2.772588722,0,0,1.098612289,0,4.317488114,0,0,0,2.944438979,0,2.397895273,2.397895273,0,3.737669618,0,1.386294361
ENSMUSG00000108366,1.791759469,2.397895273,0.693147181,3.33220451,2.48490665,1.791759469,0,0,3.091042453,0,0,2.48490665,2.772588722,0,2.397895273,0,1.098612289,0,0.693147181,2.890371758
ENSMUSG00000108368,3.295836866,0,0,2.197224577,2.772588722,2.890371758,1.098612289,0,1.098612289,0,0.693147181,0,0,2.944438979,1.609437912,0,0,1.386294361,0,0.693147181
ENSMUSG00000108372,0,0.693147181,0,0,0,0,1.386294361,1.791759469,0,2.079441542,0,0,0,3.526360525,0,0,3.135494216,0,2.197224577,0
ENSMUSG00000108376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,1.386294361,0,0
ENSMUSG00000108389,3.218875825,1.098612289,2.079441542,2.079441542,3.218875825,1.945910149,4.17438727,2.944438979,0,4.094344562,4.33073334,0,3.36729583,2.63905733,2.995732274,0,0,3.988984047,2.197224577,3.17805383
ENSMUSG00000108391,0,0,0,0,1.791759469,0,1.609437912,3.135494216,0,0,1.791759469,0,0,0,0,0.693147181,3.465735903,0,0,3.044522438
ENSMUSG00000108394,0,2.302585093,1.386294361,0,0,0,1.945910149,0,0,0,0,0,0,0,0.693147181,2.708050201,0,2.772588722,0,0
ENSMUSG00000108402,0,0,0,2.995732274,2.397895273,0,1.609437912,0,0,0,0,0,0,2.890371758,2.708050201,0,0,2.079441542,0,0
